=======================================================================
  FEM MESH CONVERGENCE STUDY — Q4 Quad  |  Quarter Plate + Ellipse Hole
  Generated: 2026-05-01 00:43:40
=======================================================================

  E = 70000 MPa  |  nu = 0.33  |  t = 5 mm  |  sigma_x = 10 MPa
  Analytical sigma_theta(90deg) = 46.0000 MPa  [Kirsch: 1 + 2b/a]

lc(mm)       Nodes   Elements     ElemsHole     SigMax(MPa)    SigAnal(MPa)   AbsErr(MPa)    RelErr(%)
-----------------------------------------------------------------------------------------------
20             725        668            30         42.8853         46.0000        3.1147       6.7710
15            1239       1165            40         44.4635         46.0000        1.5365       3.3402
12.5          1761       1672            57         44.9839         46.0000        1.0161       2.2090
10            2707       2598            84         45.8032         46.0000        0.1968       0.4278
7             5509       5353           186         46.7185         46.0000        0.7185       1.5620
6             7427       7245           249         47.0965         46.0000        1.0965       2.3838
5            10649      10433           367         47.4172         46.0000        1.4172       3.0808
4            16536      16266           558         47.7671         46.0000        1.7671       3.8415
3            29275      28915           993         48.1291         46.0000        2.1291       4.6284
2.5          41975      41545          1445         48.3054         46.0000        2.3054       5.0117

