=======================================================================
  FEM MESH CONVERGENCE STUDY — Q4 Quad  |  Quarter Plate + Ellipse Hole
  Generated: 2026-05-01 13:14:59
=======================================================================

  E = 70000 MPa  |  nu = 0.33  |  t = 5 mm  |  sigma_x = 10 MPa
  Analytical sigma_theta(90deg) = 46.0000 MPa  [Kirsch: 1 + 2b/a]

lc(mm)       Nodes   Elements     ElemsHole     SigMax(MPa)    SigAnal(MPa)   AbsErr(MPa)    RelErr(%)
-----------------------------------------------------------------------------------------------
20            1619        768            39         41.4408         46.0000        4.5592       9.9114
15            2827       1358            74         43.7813         46.0000        2.2187       4.8233
12.5          4024       1945            96         45.2117         46.0000        0.7883       1.7137
11            5187       2518           120         45.6570         46.0000        0.3430       0.7457
10            6181       3008           157         45.7894         46.0000        0.2106       0.4577
9             7630       3723           188         46.0121         46.0000        0.0121       0.0263
8             9645       4720           234         45.9891         46.0000        0.0109       0.0236
7            12502       6133           314         46.9427         46.0000        0.9427       2.0493
6            16868       8297           431         47.3165         46.0000        1.3165       2.8620
5            24215      11944           633         47.5385         46.0000        1.5385       3.3445
4            37758      18675           944         47.7373         46.0000        1.7373       3.7767
3            66826      33141          1713         48.2170         46.0000        2.2170       4.8195
2           149940      74563          3855         48.5814         46.0000        2.5814       5.6116
1.5         266188     132551          6874         48.7668         46.0000        2.7668       6.0148

